Informazioni cronologiche,Sesso,Quale è la tua fascia di età ,Vivi a Tricarico?,Hai figli?,Studi o lavori a Tricarico?,Hai (o hai mai avuto) intenzione di lasciare il paese nei prossimi anni?,Lavori o Studi da fuorisede?,Pensi che tornerai stabilmente a vivere a Tricarico?,"Quello che fai fuori*, potresti farlo a Tricarico?  
(*se lavori o studi fuori regione)","Vorresti, se potessi, tornare a vivere stabilmente a Tricarico",In che ambito lavori (o studi)?,Quali sono principalmente le ragioni per cui hai dovuto lasciare Tricarico? (scegli fino a 2 opzioni),Tricarico è un posto tranquillo per metter su famiglia,Chi lavora a Tricarico vive bene ,Tricarico è il posto dove vorrei vivere per sempre,"Tricarico offre tantissime opportunità (lavorative, sociali, di crescita)",Tricarico è un punto nevralgico della Basilicata,A Tricarico sento di poter esprimere tutto il mio potenziale,"Tricarico è (aggettivo positivo) : 
[puoi scegliere al massimo 3 opzioni]","Tricarico è (aggettivo negativo): 
[puoi scegliere al massimo 3 opzioni]","Se fossi il Sindaco della Città e avessi un'ingente somma a disposizione, su cosa investiresti subito? (scegli fino a 2 opzioni)",Quali sono secondo te i punti di forza del paese? (scegli fino a 2 opzioni),Pensi sia più importante:,Pensi sia più importante:,Pensi sia più importante:,Com'è la Tricarico che vorresti?,Come immagini Tricarico tra 10 anni?,Consigli per i candidati sindaci?
2023/05/05 3:13:26 PM CET,Donna,18-25,"No, ma torno spesso",,,,Studio fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,5,4,2,2,3,2,Tranquilla;,Noiosa;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Vorrei una città che si sappia valorizzare, perché è ricca di arte, storia, cultura e boschi che possono essere valorizzati ",Spero che si creino delle opportunità per far sì che tricarico ritorni ad essere un centro importante per la Basilicata ,Cercate di durare 5 anni pls
2023/05/05 3:17:26 PM CET,Uomo,26-35,"No, ma torno spesso",,,,Studio fuori Regione,Si,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,5,4,4,2,2,3,Tranquilla,Sporca;Disordinata;Noiosa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Ricca Quanto Basta,Morta,Siete scarsi
2023/05/05 3:23:34 PM CET,Uomo,26-35,"Si, ogni giorno",No,"No, lavoro altrove","Si, ci sto pensando",,,,,,,3,5,2,1,3,1,Tranquilla,Noiosa;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Piena di fi......gure professionali adeguate,Calciano,Durare più di 7 mesi
2023/05/05 3:25:22 PM CET,Uomo,26-35,"Si, ogni giorno",No,"Si, studio a Tricarico","Si, ci sto pensando",,,,,,,5,4,3,1,4,1,Tranquilla,Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Agevolare gli spostamenti verso lavoro e attrattive nei paesi limitrofi,Innovare e spingere per la creazione di nuove attività e progetti,"Collaborativa, coesa",Tendente allo spopolamento,Apret l'ucchij
2023/05/05 3:31:25 PM CET,Uomo,19-25,"No, ma torno spesso",,,,Studio in Basilicata,Si,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,5,3,3,2,5,3,Tranquilla;Oggettivamente carina ,Spenta;Divisa;Astiosa ,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Come Grassano…ahah scherzo fa cagare. Vorrei una Tricarico a passo con i tempi, che sappia valorizzare le sue potenzialità. So che è banale, risentito e risentito…ma è così 😅.Vorrei una tricarico più viva…dove cazzo sta la gente? Perché nessuno esce la sera? ",10 anni più vecchia.. ,Fare 
2023/05/05 4:08:10 PM CET,Uomo,36-45,"No, da anni vivo altrove",,,,,,,Vorrei ma non potrei farlo,Privato,Lavoro;Altro,5,5,3,1,2,3,Tranquilla,Spenta,Turismo/Cultura,Cultura e Tradizioni,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Come Lugano ,Vuota,Allearsi
2023/05/05 5:08:14 PM CET,Uomo,19-25,"No, ma torno spesso",,,,Studio fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,5,3,2,1,3,1,Pulita;Tranquilla;Semb nu squadron,Spenta;Divisa,Agricoltura;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Innovativa,Calciano,Mettere da parte i propri interessi
2023/05/05 7:02:37 PM CET,Donna,56-65,"Si, ogni giorno",Si,"Si, lavoro a Tricarico","Si, ci ho pensato ma ho cambiato idea",,,,,,,3,3,3,1,2,1,Tranquilla,Disordinata;Noiosa;Divisa,Sviluppo di attività produttive,Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Laboriosa,Deserta,Attrarre smartworking
2023/05/05 7:33:44 PM CET,Donna,36-45,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci ho pensato ma ho cambiato idea",,,,,,,4,4,5,1,2,2,Tranquilla,Sporca;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Cultura e Tradizioni,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Avrei bisogno di un foglio protocollo per descriverla.. ,Spero ci sarà ancora qualcuno.. ,"Parlare un po’ con i cittadini. Girare per le strade, soprattutto nel centro storico, ne parlano tutti ma non hanno contezza dello stato di abbandono e sporcizia in cui versa"
2023/05/05 8:49:48 PM CET,Uomo,26-35,"No, ma torno spesso",,,,Lavoro fuori Regione,Si,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,5,5,5,2,5,5,Tranquilla;Casa,Spenta;Divisa,Turismo/Cultura,"Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Unità, che smetta di vivere di campanilismi e ch si renda conto che è per quei campanilismi che ad oggi è l'area rurale che ha maggiormente perso in termini di popolazione e servizi negli ultimi decenni.",Con la mia famiglia a viverlo nella quotidianità.,Essere vicini ai tricaricesi in termini di ascolto.
